name;id;model_id;investment_costs_2020;investment_costs_2025;investment_costs_2030;investment_costs_2035;investment_costs_2040;investment_costs_2045;investment_costs_2050;operating_costs_2020;operating_costs_2025;operating_costs_2030;operating_costs_2035;operating_costs_2040;operating_costs_2045;operating_costs_2050;lifetime_2020;lifetime_2025;lifetime_2030;lifetime_2035;lifetime_2040;lifetime_2045;lifetime_2050;efficiency_in_2020;efficiency_in_2025;efficiency_in_2030;efficiency_in_2035;efficiency_in_2040;efficiency_in_2045;efficiency_in_2050;efficiency_out_2020;efficiency_out_2025;efficiency_out_2030;efficiency_out_2035;efficiency_out_2040;efficiency_out_2045;efficiency_out_2050;potential_bestand;potential_min;potential_neu;potential_Hös_min;potential_max;potential_swest_min;potential_east_min;potential_middle_min;potential_north_min;inverse_c_rate;balanced;initial_storage_level;;
data_type;int;varchar(100);float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;bool;float;;
type;integer;string;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number ;number;number;number;number;number;number;number;number;number;;
unit;;;eur per mwh;eur per mwh;eur per mwh;eur per mwh;eur per mwh;eur per mwh;eur per mwh;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;percent of investment costs;years;years;years;years;years;years;years;percent;percent;percent;percent;percent;percent;percent;percent;percent;percent;percent;percent;percent;percent;MW;MW;MW;mwh;mwh;mwh;mwh;mwh;mwh;;;;;
description;;;investment costs for the year 2020 for storage electricity pumped hydro storage power technology;investment costs for the year 2025 for storage electricity pumped hydro storage power technology;investment costs for the year 2030 for storage electricity pumped hydro storage power technology;investment costs for the year 2035 for storage electricity pumped hydro storage power technology;investment costs for the year 2040 for storage electricity pumped hydro storage power technology;investment costs for the year 2045 for storage electricity pumped hydro storage power technology;investment costs for the year 2050 for storage electricity pumped hydro storage power technology;operating costs for the year 2020 for storage electricity pumped hydro storage power technology;operating costs for the year 2025 for storage electricity pumped hydro storage power technology;operating costs for the year 2030 for storage electricity pumped hydro storage power technology;operating costs for the year 2035 for storage electricity pumped hydro storage power technology;operating costs for the year 2040 for storage electricity pumped hydro storage power technology;operating costs for the year 2045 for storage electricity pumped hydro storage power technology;operating costs for the year 2050 for storage electricity pumped hydro storage power technology;lifetime for the year 2020 for storage electricity pumped hydro storage power technology;lifetime for the year 2025 for storage electricity pumped hydro storage power technology;lifetime for the year 2030 for storage electricity pumped hydro storage power technology;lifetime for the year 2035 for storage electricity pumped hydro storage power technology;lifetime for the year 2040 for storage electricity pumped hydro storage power technology;lifetime for the year 2045 for storage electricity pumped hydro storage power technology;lifetime for the year 2050 for storage electricity pumped hydro storage power technology;efficiency in for the year 2020 for storage electricity pumped hydro storage power technology;efficiency in for the year 2025 for storage electricity pumped hydro storage power technology;efficiency in for the year 2030 for storage electricity pumped hydro storage power technology;efficiency in for the year 2035 for storage electricity pumped hydro storage power technology;efficiency in for the year 2040 for storage electricity pumped hydro storage power technology;efficiency in for the year 2045 for storage electricity pumped hydro storage power technology;efficiency in for the year 2050 for storage electricity pumped hydro storage power technology;efficiency out for the year 2020 for storage electricity pumped hydro storage power technology;efficiency out for the year 2025 for storage electricity pumped hydro storage power technology;efficiency out for the year 2030 for storage electricity pumped hydro storage power technology;efficiency out for the year 2035 for storage electricity pumped hydro storage power technology;efficiency out for the year 2040 for storage electricity pumped hydro storage power technology;efficiency out for the year 2045 for storage electricity pumped hydro storage power technology;efficiency out for the year 2050 for storage electricity pumped hydro storage power technology;Potential_bestand in HS netz;minimum;Potential_neu in Hös Netz;potential Hö for the year _min for storage electricity pumped hydro storage power technology;potentia for the year _max for storage electricity pumped hydro storage power technology;potential swes for the year _min for storage electricity pumped hydro storage power technology;potential eas for the year _min for storage electricity pumped hydro storage power technology;potential middl for the year _min for storage electricity pumped hydro storage power technology;potential nort for the year _min for storage electricity pumped hydro storage power technology;inverse c for the year rate for storage electricity pumped hydro storage power technology;bal for the year nced for storage electricity pumped hydro storage power technology;initial storage  for the year evel for storage electricity pumped hydro storage power technology;;
primary_key;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
data;1;BS0001;;;112500;;112500;;112500;;;1;;1;;1;;;80;;80;;;;;100;;100;;100;;;80;;80;;80;;;;1052;9360;0;139,6;0;0;8;1;0,5;;2304
data;2;BS0002;95000;95000;95000;95000;95000;95000;95000;2;2;2;2;2;2;2;20;20;20;20;20;20;20;80;80;80;80;80;80;80;80;80;80;80;80;80;80;;;;1052;9360;0;139,6;0;0;8;1;0,5;;2304
data;3;BS0003;95000;95000;95000;95000;95000;95000;95000;2;2;2;2;2;2;2;20;20;20;20;20;20;20;80;80;80;80;80;80;80;80;80;80;80;80;80;80;;;;1052;9360;0;139,6;0;0;8;1;0,5;;2304
data;4;BS0004;95000;95000;95000;95000;95000;95000;95000;2;2;2;2;2;2;2;20;20;20;20;20;20;20;80;80;80;80;80;80;80;80;80;80;80;80;80;80;;;;1052;9360;0;139,6;0;0;8;1;0,5;;2304
data;5;BS0005;850000;850000;850000;850000;850000;850000;850000;1,5;1,5;1,5;1,5;1,5;1,5;1,5;70;70;70;70;70;70;70;85,5;85,5;85,5;85,5;85,5;85,5;85,5;100;100;100;100;100;100;100;297;0;4830;1052;9360;0;139,6;0;0;24;1;0,5;;2304
data;6;BS0006;850000;850000;850000;850000;850000;850000;850000;1,5;1,5;1,5;1,5;1,5;1,5;1,5;70;70;70;70;70;70;70;85,5;85,5;85,5;85,5;85,5;85,5;85,5;100;100;100;100;100;100;100;297;0;4830;1052;9360;0;139,6;0;0;None;1;None;;2304
