name;id;model_id;investment_costs_2020;investment_costs_2025;investment_costs_2030;investment_costs_2035;investment_costs_2040;investment_costs_2045;investment_costs_2050;operating_costs_2020;operating_costs_2025;operating_costs_2030
type;int;varchar(100);float;float;float;float;float;float;float;float;float;float
unit;;;EUR/MW;EUR/MW;EUR/MW;EUR/MW;EUR/MW;EUR/MW;EUR/MW;% of investment_costs;% of investment_costs;% of investment_costs
isAbout;;;;;;;;;;;;
description;;;median investment costs for 2020;;;;;;;;;
primary_key;true;;;;;;;;;;;
valueReference;;https://www.hs-nordhausen.de/forschung/in-ret-institut-fuer-regenerative-energietechnik/;https://www.hs-nordhausen.de/forschung/in-ret-institut-fuer-regenerative-energietechnik/;https://www.hs-nordhausen.de/forschung/in-ret-institut-fuer-regenerative-energietechnik/;https://www.hs-nordhausen.de/forschung/in-ret-institut-fuer-regenerative-energietechnik/;https://www.hs-nordhausen.de/forschung/in-ret-institut-fuer-regenerative-energietechnik/;https://www.hs-nordhausen.de/forschung/in-ret-institut-fuer-regenerative-energietechnik/;https://www.hs-nordhausen.de/forschung/in-ret-institut-fuer-regenerative-energietechnik/;https://www.hs-nordhausen.de/forschung/in-ret-institut-fuer-regenerative-energietechnik/;https://www.hs-nordhausen.de/forschung/in-ret-institut-fuer-regenerative-energietechnik/;https://www.hs-nordhausen.de/forschung/in-ret-institut-fuer-regenerative-energietechnik/;https://www.hs-nordhausen.de/forschung/in-ret-institut-fuer-regenerative-energietechnik/
data;1;BS0002;1290000;1210000;1150000;1112500;1075000;1037500;1020840;2.415;2.425;2.475
data;2;BS0003;1290000;1210000;1150000;1112500;1075000;1037500;1020840;2.415;2.425;2.475
data;3;BS0004;1290000;1210000;1150000;1112500;1075000;1037500;1020840;2.415;2.425;2.475
data;4;BS0005;1290000;1210000;1150000;1112500;1075000;1037500;1020840;2.415;2.425;2.475